ExamID,CourseCode,Year,Semester,Password,Status,Coordinator,OwnerID,Duration
2026S1ITCS5.100,ITCS5.100 ,2026,S1,abcd1001,active,0,1,90
2026S1ITPF5.110,ITPF5.110 ,2026,S1,abcd1002,active,0,1,90
2026S1ITCT5.120,ITCT5.120 ,2026,S1,abcd1003,active,0,1,90
2026S1ITWD5.130,ITWD5.130 ,2026,S1,abcd1004,active,0,1,90
2026S1ITUX5.210,ITUX5.210 ,2026,S1,abcd1005,active,0,1,90
2026S1ITDT5.228,ITDT5.228 ,2026,S1,abcd1006,active,0,1,90
2026S1ITPM5.240,ITPM5.240 ,2026,S1,abcd1007,active,0,1,90
2026S1ITIS5.450,ITIS5.450 ,2026,S1,abcd1008,active,0,1,90
2026S1ITAE6.100,ITAE6.100 ,2026,S1,abcd1009,active,0,1,90
2026S1ITDB6.208,ITDB6.208 ,2026,S1,abcd1010,active,0,1,90
2026S1ITDC6.218,ITDC6.218 ,2026,S1,abcd1011,active,0,1,90
2026S1ITHW6.238,ITHW6.238 ,2026,S1,abcd1012,active,0,1,90
2026S1ITMA6.240,ITMA6.240 ,2026,S1,abcd1013,active,0,1,90
2026S1ITPM6.318,ITPM6.318 ,2026,S1,abcd1014,active,0,1,90
2026S1ITSD6.348,ITSD6.348 ,2026,S1,abcd1015,active,0,1,90
2026S1ITSD6.349,ITSD6.349 ,2026,S1,abcd1016,active,0,1,90
2026S1ITPR6.358,ITPR6.358 ,2026,S1,abcd1017,active,0,1,90
2026S1ITKM6.398,ITKM6.398 ,2026,S1,abcd1018,active,0,1,90
2026S1ITWD6.408,ITWD6.408 ,2026,S1,abcd1019,active,0,1,90
2026S1ITCP7.00x,ITCP7.00x ,2026,S1,abcd1020,active,0,1,90
2026S1ITAI7.110,ITAI7.110 ,2026,S1,abcd1021,active,0,1,90
2026S1ITFM7.120,ITFM7.120 ,2026,S1,abcd1022,active,0,1,90
2026S1ITDA7.240,ITDA7.240 ,2026,S1,abcd1023,active,0,1,90
2026S1ITWD7.358,ITWD7.358 ,2026,S1,abcd1024,active,0,1,90
2026S1ITEC7.398,ITEC7.398 ,2026,S1,abcd1025,active,0,1,90
2026S1ITSY7.668,ITSY7.668 ,2026,S1,abcd1026,active,0,1,90
2025S1ITCS5.100,ITCS5.100 ,2025,S1,abcd1001,active,0,1,90
2025S1ITPF5.110,ITPF5.110 ,2025,S1,abcd1002,active,0,1,90
2025S1ITCT5.120,ITCT5.120 ,2025,S1,abcd1003,active,0,1,90
2025S1ITWD5.130,ITWD5.130 ,2025,S1,abcd1004,active,0,1,90
2025S1ITUX5.210,ITUX5.210 ,2025,S1,abcd1005,active,0,1,90
2025S1ITDT5.228,ITDT5.228 ,2025,S1,abcd1006,active,0,1,90
2025S1ITPM5.240,ITPM5.240 ,2025,S1,abcd1007,active,0,1,90
2025S1ITIS5.450,ITIS5.450 ,2025,S1,abcd1008,active,0,1,90
2025S1ITAE6.100,ITAE6.100 ,2025,S1,abcd1009,active,0,1,90
2025S1ITDB6.208,ITDB6.208 ,2025,S1,abcd1010,active,0,1,90
2025S1ITDC6.218,ITDC6.218 ,2025,S1,abcd1011,active,0,1,90
2025S1ITHW6.238,ITHW6.238 ,2025,S1,abcd1012,active,0,1,90
2025S1ITMA6.240,ITMA6.240 ,2025,S1,abcd1013,active,0,1,90
2025S1ITPM6.318,ITPM6.318 ,2025,S1,abcd1014,active,0,1,90
2025S1ITSD6.348,ITSD6.348 ,2025,S1,abcd1015,active,0,1,90
2025S1ITSD6.349,ITSD6.349 ,2025,S1,abcd1016,active,0,1,90
2025S1ITPR6.358,ITPR6.358 ,2025,S1,abcd1017,active,0,1,90
2025S1ITKM6.398,ITKM6.398 ,2025,S1,abcd1018,active,0,1,90
2025S1ITWD6.408,ITWD6.408 ,2025,S1,abcd1019,active,0,1,90
2025S1ITCP7.00x,ITCP7.00x ,2025,S1,abcd1020,active,0,1,90
2025S1ITAI7.110,ITAI7.110 ,2025,S1,abcd1021,active,0,1,90
2025S1ITFM7.120,ITFM7.120 ,2025,S1,abcd1022,active,0,1,90
2025S1ITDA7.240,ITDA7.240 ,2025,S1,abcd1023,active,0,1,90
2025S1ITWD7.358,ITWD7.358 ,2025,S1,abcd1024,active,0,1,90
2025S1ITEC7.398,ITEC7.398 ,2025,S1,abcd1025,active,0,1,90
2025S1ITSY7.668,ITSY7.668 ,2025,S1,abcd1026,active,0,1,90
