CourseCode,Year,Semester,Password,Status,Duration
ITCS5.100 ,2026,S1,abcd1001,active,90
ITPF5.110 ,2026,S1,abcd1002,active,90
ITCT5.120 ,2026,S1,abcd1003,active,90
ITWD5.130 ,2026,S1,abcd1004,active,90
ITUX5.210 ,2026,S1,abcd1005,active,90
ITDT5.228 ,2026,S1,abcd1006,active,90
ITPM5.240 ,2026,S1,abcd1007,active,90
ITIS5.450 ,2026,S1,abcd1008,active,90
ITAE6.100 ,2026,S1,abcd1009,active,90
ITDB6.208 ,2026,S1,abcd1010,active,90
ITDC6.218 ,2026,S1,abcd1011,active,90
ITHW6.238 ,2026,S1,abcd1012,active,90
ITMA6.240 ,2026,S1,abcd1013,active,90
ITPM6.318 ,2026,S1,abcd1014,active,90
ITSD6.348 ,2026,S1,abcd1015,active,90
ITSD6.349 ,2026,S1,abcd1016,active,90
ITPR6.358 ,2026,S1,abcd1017,active,90
ITKM6.398 ,2026,S1,abcd1018,active,90
ITWD6.408 ,2026,S1,abcd1019,active,90
ITCP7.00x ,2026,S1,abcd1020,active,90
ITAI7.110 ,2026,S1,abcd1021,active,90
ITFM7.120 ,2026,S1,abcd1022,active,90
ITDA7.240 ,2026,S1,abcd1023,active,90
ITWD7.358 ,2026,S1,abcd1024,active,90
ITEC7.398 ,2026,S1,abcd1025,active,90
ITSY7.668 ,2026,S1,abcd1026,active,90
ITCS5.100 ,2025,S1,abcd1001,active,90
ITPF5.110 ,2025,S1,abcd1002,active,90
ITCT5.120 ,2025,S1,abcd1003,active,90
ITWD5.130 ,2025,S1,abcd1004,active,90
ITUX5.210 ,2025,S1,abcd1005,active,90
ITDT5.228 ,2025,S1,abcd1006,active,90
ITPM5.240 ,2025,S1,abcd1007,active,90
ITIS5.450 ,2025,S1,abcd1008,active,90
ITAE6.100 ,2025,S1,abcd1009,active,90
ITDB6.208 ,2025,S1,abcd1010,active,90
ITDC6.218 ,2025,S1,abcd1011,active,90
ITHW6.238 ,2025,S1,abcd1012,active,90
ITMA6.240 ,2025,S1,abcd1013,active,90
ITPM6.318 ,2025,S1,abcd1014,active,90
ITSD6.348 ,2025,S1,abcd1015,active,90
ITSD6.349 ,2025,S1,abcd1016,active,90
ITPR6.358 ,2025,S1,abcd1017,active,90
ITKM6.398 ,2025,S1,abcd1018,active,90
ITWD6.408 ,2025,S1,abcd1019,active,90
ITCP7.00x ,2025,S1,abcd1020,active,90
ITAI7.110 ,2025,S1,abcd1021,active,90
ITFM7.120 ,2025,S1,abcd1022,active,90
ITDA7.240 ,2025,S1,abcd1023,active,90
ITWD7.358 ,2025,S1,abcd1024,active,90
ITEC7.398 ,2025,S1,abcd1025,active,90
ITSY7.668 ,2025,S1,abcd1026,active,90
